time,open,high,low,close,Volume
1586439000,194.84848163,195.76362504,191.72553066,193.49021615,68323929
1586784600,192.58470583,195.95628681,191.45763447,195.58059636,42853948
1586871000,199.56869501,204.70313119,198.84621337,204.08661353,63959563
1586957400,200.83062961,204.06137484,199.52052957,201.74577302,47035953
1587043800,204.00954882,206.50355544,201.99623332,205.42561283,64657362
1587130200,208.03617982,208.56599969,204.29863781,207.39076289,62863223
1587389400,205.44487901,207.95911512,204.77056281,204.93432532,38249128
1587475800,202.90174364,203.41229733,196.15858167,197.37235083,72932771
1587562200,201.46641345,204.55863487,200.68613328,203.22926865,40188772
1587648600,204.028815,206.56713382,202.3863734,202.79577967,43278542
1587735000,203.20036938,206.43708713,201.81320464,205.99396506,34303365
1587994200,208.24810777,208.68159676,206.6297489,207.65085628,36451698
1588080600,209.29811442,209.34627986,203.46046277,203.73982234,46862816
1588167000,208.27700704,211.89904832,207.24626657,210.96463874,48716406
1588253400,211.93758068,211.96647994,209.37517913,210.87794094,43359476
1588339800,206.66828125,208.72012911,203.91321794,204.93432532,48794968
1588599000,203.84578632,207.54489231,203.37376498,207.32333127,32841020
1588685400,209.42334457,212.06281083,208.8935247,209.67380487,37783075
1588771800,211.32106301,212.9297888,210.10729386,210.96463874,36455218
1588858200,213.61373808,214.55778076,212.33253731,213.6811697,38624836
1588944600,215.34769402,216.74449185,214.31695354,216.60962861,31964416
1589203800,215.29952857,219.56698679,215.05870136,218.54587941,35714128
1589290200,219.13349781,219.72593275,213.94126309,213.97016236,41054123
1589376600,214.48071605,216.3688014,208.75866146,211.29216375,65521208
1589463000,210.11692695,213.72933514,208.06507909,213.69080279,51549345
1589549400,210.7430777,215.13576607,210.31922181,215.07796754,55747208
1589808600,217.97752718,220.28946843,217.19724701,219.08533236,42597551
1589895000,219.3068934,221.41653979,218.39174999,218.53624632,36237303
1589981400,221.06011551,223.2564597,221.06011551,222.90003542,37417000
1590067800,222.99636631,223.61770052,219.96194342,220.47249711,43642908
1590154200,220.07754048,221.43580597,219.15276398,221.23351111,28762389
1590499800,224.87481857,225.00004872,220.3954324,220.63625962,33055346
1590586200,220.12570593,221.95599275,215.72338447,221.84039568,55665565
1590672600,220.64589271,224.90371784,220.64589271,221.55140303,43008478
1590759000,221.97525892,225.02894799,220.36653314,224.79775386,50878596
1591018200,223.87297736,225.84776051,223.48765382,225.47207006,26140125
1591104600,225.81886125,227.04226349,223.49728691,226.98446496,33383415
1591191000,227.56245027,228.75695325,226.71473848,228.00557234,37228701
1591277400,227.64914807,229.06521208,225.10601269,226.40647965,38716097
1591363800,227.39868776,231.48022737,226.98446496,230.8954989,47365569
1591623000,230.75100257,232.81248352,229.18080914,232.68725336,32937305
1591709400,231.82990849,235.22075565,231.6468798,234.37304386,35046254
1591795800,236.01066891,238.72238333,235.53864757,237.18590571,58084410
1591882200,233.40010192,234.65240342,225.37573917,225.4335377,72919442
1591968600,230.31751359,231.57944818,223.23719352,227.22529217,72034787
1592227800,223.91150972,230.66430477,222.97710013,229.98998858,45307371
1592314200,234.83543211,235.42305051,230.32714668,233.93955487,48890095
1592400600,235.43268359,236.49232333,233.82395781,234.68130269,34749268
1592487000,234.36341077,235.55791375,233.59276369,235.31708653,30578648
1592573400,237.68682631,237.93728661,233.55423133,235.27855418,49422112
1592832600,235.23441531,238.22586909,234.85807113,238.10042103,24068676
1592919000,239.69264643,242.35600527,239.14260492,240.12688972,32767370
1593005400,239.30665239,240.59490748,233.68078932,235.17651621,46032376
1593091800,235.36951322,237.71442699,232.69650453,237.41528161,36940811
1593178200,237.14508579,237.34773266,231.28762629,231.80871824,52824554
1593437400,231.57712182,234.34662903,229.03921104,234.33697918,34377800
1593523800,234.26943022,239.47069985,234.08608305,238.9303082,38909219
1593610200,238.98820731,242.71304976,238.42870895,241.71911511,34689213
1593696600,244.11227814,245.36675875,242.89639692,243.35958977,31956497
1594042200,246.51509101,249.8616593,246.48614146,249.34249732,34589049
1594128600,249.06265165,251.7453102,247.32567848,247.62482386,36578191
1594215000,248.96615314,250.91542302,247.5186755,250.88647347,30426273
1594301400,252.71994514,253.66563052,248.60910865,252.99979081,40312906
1594387800,252.8260935,254.97801025,250.18203435,254.72711412,32885298
1594647000,257.52557088,260.34332734,248.66700776,249.48724509,64108090
1594733400,247.10373191,251.65846154,243.90963127,251.2531678,72230512
1594819800,252.51729827,253.49193321,248.47401074,251.7646099,54523869
1594906200,248.93720358,250.6838266,246.66948862,250.04693644,47594111
1594992600,250.61627764,251.19526869,248.16521551,250.33643196,35137871
1595251800,251.01192153,258.06596253,249.72849136,257.43872222,40610128
1595338200,259.01164792,259.01164792,253.91170172,254.75606368,43442967
1595424600,255.19995682,256.57988549,253.3568353,255.65349981,29865519
1595511000,255.28680547,255.95264519,247.56692476,248.97580299,51363538
1595597400,245.22201099,247.93361909,242.52005274,246.61158952,54054536
1595856600,248.34856268,251.39791556,247.46560132,251.01192153,36445741
1595943000,250.24958331,250.75137555,247.52832535,247.81782088,31302390
1596029400,249.28459822,251.53301348,248.87930448,250.67417675,27556884
1596115800,248.75385642,252.54624782,247.56692476,251.98655647,41774456
1596202200,256.52198639,256.6377846,251.71636064,256.48338699,53756159
1596461400,258.66425329,260.69072198,258.49055597,259.94768346,32081566
1596547800,259.330093,261.00916706,258.70285269,260.91266855,24911286
1596634200,261.34691184,262.01275155,260.50737481,261.55920856,21685921
1596720600,261.29866258,265.35159996,260.72932138,265.02350503,28048224
1596807000,264.44451398,265.25683842,259.81741047,261.9645023,44969356
1597066200,262.22504827,262.45664469,257.33257386,260.84511959,35088373
1597152600,259.67748763,260.97056765,255.36400428,255.90439593,43104323
1597239000,258.00806343,263.28653187,258.00806343,262.34084648,38894272
1597325400,263.09353485,265.2068522,262.0031017,262.93913724,31895717
1597411800,263.45057933,263.82692352,261.24076348,262.63034201,30799494
1597671000,264.31906591,266.18148714,262.66681844,265.67969489,24802966
1597757400,266.73152864,268.714573,265.284051,268.23690538,23529498
1597843800,268.19830597,269.25013972,265.92094116,266.43238326,31999359
1597930200,265.66039519,270.6107687,265.23580175,270.12827615,27723379
1598016600,270.26337407,272.45389022,269.67569815,272.00034723,34748934
1598275800,275.07864966,275.98573565,271.42135617,273.69872099,36418533
1598362200,272.87848366,276.04363475,272.48283977,275.85063774,34866586
1598448600,277.0568691,281.98794291,275.8207232,281.73704678,42216690
1598535000,282.81783008,283.56183359,278.59602032,280.85891035,49482715
1598621400,282.03619216,282.91432859,280.74311214,282.28708828,28021022
1598880600,282.89502889,286.35450044,282.37393694,284.55480324,36321027
1598967000,287.17956269,289.53412631,285.43293968,289.4183281,36395774
1599053400,292.6413783,292.87297472,286.49442327,292.15888575,50836767
1599139800,287.75855374,288.16384748,274.45140936,277.34636462,110083282
1599226200,275.75413923,278.81314196,262.28294737,273.65047173,123958978
1599571800,262.73649037,268.47815165,260.21787928,260.49772496,99568645
1599658200,265.89199161,270.23924944,263.44092948,268.15005672,64837872
1599744600,271.13186065,272.31396738,261.08636586,262.80403932,69667462
1599831000,264.72435965,265.58319638,257.55452044,260.9802175,71809014
1600090200,264.6761104,267.51316656,263.40233008,265.52529728,38525194
1600176600,269.13434151,270.6300684,265.49943568,269.28873913,41849926
1600263000,269.97387854,270.54321974,264.64716084,264.99455548,42435626
1600349400,258.15281119,264.78756618,257.34222372,260.85476944,81570844
1600435800,262.10925006,262.56279305,253.4340341,257.52557088,86251117
1600695000,253.69696155,258.6545473,251.36795927,258.51925256,57168570
1600781400,260.97388567,263.90205035,257.58185331,263.32221576,41128886
1600867800,263.00330674,263.18692102,254.40262024,255.28184276,48837270
1600954200,252.78855402,259.66925784,252.44065326,256.47050367,70631704
1601040600,256.8860518,263.24007253,255.41704086,262.43313606,55242376
1601299800,267.31824249,267.88358121,262.54330463,267.88358121,58438286
1601386200,267.41971354,268.37644062,266.11692185,266.67559248,27178921
1601472600,266.81088722,271.64284215,266.59992407,268.50207144,49380802
1601559000,272.31931584,273.37210218,270.43485342,272.76385569,50020223
1601645400,266.73357594,272.75535145,264.24995111,265.09071127,75497391
1601904600,267.05248497,271.06300756,266.94618196,270.74409853,28184581
1601991000,269.90333837,271.73948125,265.03272781,265.9121436,49704236
1602077400,268.49240754,271.3046053,267.96089249,270.5121647,27539663
1602163800,272.83150306,272.97646171,270.88905718,271.95208726,25443287
1602250200,273.57562412,276.18487978,273.20839554,276.1075685,30201144
1602509400,280.83322042,287.46266258,279.74119861,284.63113699,79370657
1602595800,286.38030468,287.06605572,283.2588618,284.62147309,64240031
1602682200,285.39458587,286.38996859,280.50464749,282.24415126,37181227
