time,open,high,low,close,Volume
1466429400,100.38055638,100.85576369,99.7749,99.84944233,20562769
1466515800,100.00784476,100.3665797,99.79353558,100.1662472,22804112
1466602200,100.24078953,100.80917474,99.84012454,99.92398465,22724174
1466688600,100.71599684,101.36824217,100.27806069,101.34960659,18714227
1466775000,97.65976157,99.23446816,96.96092729,97.17523647,68012733
1467034200,96.53230893,96.53230893,94.8085177,95.24645385,50044303
1467120600,96.28072859,97.38022786,96.25277522,97.33363891,28260604
1467207000,98.07906214,99.26242153,98.05204055,99.05743014,31356723
1467293400,99.25310374,100.2687429,98.88970991,100.20351836,36300819
1467379800,100.15692941,101.07939066,100.11965825,100.70667905,19902803
1467725400,100.24078953,100.31533185,99.55127303,100.09170488,21167903
1467811800,99.62581536,100.95825939,99.29969269,100.91167044,24579270
1467898200,100.99553055,101.4334667,100.73463242,101.20983973,19161748
1467984600,101.72231821,102.83113527,101.58255135,102.77522852,29457871
1468243800,103.12930456,103.73961983,103.11066898,103.36224932,20218504
1468330200,103.97722349,104.1635793,103.74427873,103.88404559,21906145
1468416600,104.1635793,104.19153267,103.62314745,103.63246524,21107762
1468503000,104.32198174,104.53629092,104.07971919,104.34061732,20870986
1468589400,104.56424429,104.63878661,103.93995233,104.17289709,17999312
1468848600,104.22880383,105.04876939,104.21948604,104.86241358,20713924
1468935000,104.51765534,104.80650684,104.29402837,104.48038417,18936702
1469021400,105.05808718,105.89668832,104.91832033,105.70101472,24997929
1469107800,105.77555705,105.98054843,105.16990067,105.45875217,18885367
1469194200,105.55193007,106.0178196,105.20810361,105.89668832,20003363
1469453400,105.81282821,105.93395948,105.55193007,105.90600611,12968085
1469539800,105.87805274,106.4091668,105.49602333,106.02713739,21223845
1469626200,106.93096306,107.04277654,106.31598889,106.76324283,27646113
1469712600,106.93096306,107.25708572,106.5955226,107.13595445,16939662
1469799000,107.378217,107.65775071,107.03345875,107.36889921,22385320
1470058200,107.44344153,108.20750035,107.31299247,107.93728443,13990077
1470144600,107.78819978,107.87205989,106.42780238,107.11731887,21278383
1470231000,107.04277654,107.4807127,106.96870011,107.4713949,15011273
1470317400,107.45275932,107.88137768,107.1825434,107.77888199,12835296
1470403800,108.34726721,109.05541928,108.20750035,108.81315673,23196570
1470663000,108.85042789,108.89701684,108.34726721,108.69202545,12358181
1470749400,108.76656778,109.28836404,108.71066103,108.94360579,13276458
1470835800,108.98087696,109.0367837,108.37522058,108.66407208,14688405
1470922200,109.02746591,109.36290636,108.81315673,109.1299616,12969799
1471008600,108.934288,109.21382172,108.82247452,109.20450393,19379036
1471267800,109.3256352,109.92197379,109.30699962,109.67039345,11777762
1471354200,109.45608427,109.47471985,109.04610149,109.06473707,14161446
1471440600,109.09269044,109.29768183,108.48703406,109.26041067,15980334
1471527000,109.15791497,109.44676648,108.96690027,109.28836404,10036285
1471613400,109.11132602,109.50267322,108.79452115,109.26041067,18742961
1471872600,109.10200823,109.53062659,108.89701684,109.34427078,14500622
1471959000,109.75425356,109.95877906,109.49335543,109.53994438,11997927
1472045400,109.47471985,109.61448671,108.46839848,108.83179231,17728656
1472131800,108.53362301,108.99019475,108.42180953,108.65475429,24266264
1472218200,108.70134324,109.5213088,108.1609114,108.81315673,23895963
1472477400,108.8411101,109.25202466,108.82247452,108.96224137,11184872
1472563800,108.76656778,109.10200823,108.23545372,108.60816534,19843301
1472650200,108.44044511,108.60816534,108.03978012,108.49635185,16169794
1472736600,108.53362301,108.90633463,108.00250896,108.77588557,20944727
1472823000,109.31631741,109.53994438,108.71997882,109.1299616,18088215
1473168600,109.28836404,109.8101603,109.07405486,109.8101603,18525231
1473255000,109.90333821,110.06174065,109.45608427,109.87538484,17546872
1473341400,109.54926217,109.57721554,108.94360579,109.2324573,20125319
1473427800,108.30067825,108.56157639,106.46507354,106.48370912,50813287
1473687000,105.88737053,108.54294081,105.87805274,108.39385616,39645960
1473773400,107.83478873,108.17022919,106.90300969,107.42480595,45863935
1473859800,107.55525502,108.52430522,107.50866607,107.93728443,28221762
1473946200,107.98387338,109.77754804,107.95592001,109.61448671,39466531
1474032600,109.49666656,109.67601616,109.02026919,109.56205443,27596527
1474291800,109.82360593,110.17856868,108.87081119,109.08565706,16222870
1474378200,109.46864319,109.73953581,109.10433931,109.29116181,18078584
1474464600,109.73953581,110.5241903,109.11368044,110.36539118,31546776
1474551000,111.01926993,111.36489155,110.89568684,111.24345692,22614422
1474637400,111.0846578,111.1593868,110.3747323,110.53353143,22213394
1474896600,109.90767606,110.03845181,109.44996094,109.60876006,16403881
1474983000,109.58073668,110.74389356,109.43127869,110.69233055,20238432
1475069400,110.80442405,110.94454093,110.30934443,110.87915305,14794330
1475155800,110.70167168,110.8978353,109.60296856,110.07581631,27207499
1475242200,110.36072062,111.22477467,110.25329768,110.8978353,25543200
1475501400,110.72035393,110.87915305,110.30934443,110.73903618,19216438
1475587800,111.02861105,111.3088448,110.15054531,110.57089593,21239742
1475674200,110.87915305,111.31818592,110.85112968,110.96322318,14481285
1475760600,110.81376518,111.14163866,110.36539118,110.90717643,11987056
1475847000,111.02861105,111.16872792,110.12252193,110.66430718,19984158
1476106200,111.21543355,111.6077608,111.18741017,111.36489155,19687341
1476192600,111.25279805,111.29016255,109.29116181,109.77690031,27774426
1476279000,109.8282765,110.05713406,109.34720856,109.68348906,14267824
1476365400,108.95021075,109.59007781,108.30100257,109.29116181,22821011
1476451800,109.83294706,110.27197993,109.35654969,109.42193756,21313321
1476711000,109.38457306,109.57139556,108.98477291,109.12302156,14182694
1476797400,110.39341455,110.60826043,110.03845181,110.09449856,19276656
1476883800,110.01042843,110.24395656,109.88899381,110.08515743,13702918
1476970200,109.92635831,110.19725093,109.31918519,109.95438168,18132245
1477056600,110.03845181,110.43077905,109.67414793,110.36539118,15707804
1477315800,111.09399893,111.76655992,111.05831583,111.69183092,19142985
1477402200,111.73853655,111.77590105,111.16872792,111.33686817,20341835
1477488600,110.60826043,111.18741017,110.25329768,110.58023705,20463696
