time,open,high,low,close,Volume
1470175200,1363.37,1366.47,1354.2,1357.55,0
1470261600,1358.01,1365.01,1349.36,1361.15,0
1470348000,1360.5,1364.71,1334.91,1335.5,0
1470607200,1335.45,1338.32,1330.12,1335.15,0
1470693600,1335.29,1342.6,1330.74,1340.25,0
1470780000,1340.37,1357.3,1340.24,1346.05,0
1470866400,1346.8,1353.37,1335.98,1338.15,0
1470952800,1338.67,1356.39,1333.48,1335.49,0
1471212000,1335.74,1343.81,1335.74,1338.85,0
1471298400,1339.55,1358.05,1339.55,1345.65,0
1471384800,1345.5,1351.66,1336.27,1348.35,0
1471471200,1348.26,1356.09,1346.29,1353.8,0
1471557600,1352.09,1352.86,1337.9,1340.9,0
1471816800,1341.2,1341.2,1331.98,1338.65,0
1471903200,1338.74,1344.78,1335.42,1337.05,0
1471989600,1337.97,1340.13,1323.75,1323.75,0
1472076000,1323.97,1327.04,1318.2,1321.45,0
1472162400,1321.35,1342.26,1318.58,1320.59,0
1472421600,1320.94,1325.11,1315.08,1322.65,0
1472508000,1323.52,1325.48,1309.3,1310.45,0
1472594400,1311.61,1316.13,1304.38,1308.76,0
1472680800,1309.49,1315.12,1302.61,1313.05,0
1472767200,1314.24,1330.2,1305.11,1327.2,0
1473026400,1326.78,1352.61,1325.04,1349.75,0
1473199200,1348.42,1352.58,1342.82,1344.25,0
1473285600,1344.78,1349.4,1335.61,1337.45,0
1473372000,1337.37,1339.57,1327.51,1327.51,0
1473631200,1327.84,1330.31,1320.6,1327.15,0
1473717600,1327.85,1332.1,1315.86,1318.05,0
1473804000,1319.18,1326.16,1313.73,1322.55,0
1473890400,1321.67,1328.45,1309.1,1313.95,0
1473976800,1314.66,1318.16,1306.38,1309.85,0
1474236000,1309.87,1318.41,1309.6,1312.84,0
1474322400,1312.79,1317.92,1312.19,1314.45,0
1474408800,1314.56,1337.06,1307.96,1335.15,0
1474495200,1334.69,1343.66,1331.4,1336.55,0
1474581600,1336.56,1340.61,1334,1337.34,0
1474840800,1337.29,1342.12,1332.9,1337.35,0
1474927200,1337.34,1339.51,1324.8,1327.22,0
1475013600,1326.51,1327.58,1318.19,1321.11,0
1475100000,1321.54,1325.83,1316.26,1320.13,0
1475186400,1320.11,1328.06,1313.46,1315.55,0
1475445600,1315.5,1319.62,1309.54,1311.56,0
1475532000,1312.17,1313.02,1267.13,1268.15,0
1475618400,1268.16,1277.16,1262.33,1267.21,0
1475704800,1266.13,1269.41,1250.05,1253.9,0
1475791200,1254.76,1265.4,1241.5,1257.39,0
1476050400,1257.34,1264.93,1256.8,1259.6,0
1476136800,1259.32,1262.19,1252.05,1252.05,0
1476223200,1252.26,1258.9,1249.94,1254.75,0
1476309600,1255.65,1262.31,1253.29,1257.25,0
1476396000,1257.81,1259.56,1246.26,1250,0
1476655200,1250.56,1257.24,1250.53,1254.9,0
1476741600,1254.51,1264.72,1254.51,1262.15,0
1476828000,1262.55,1273.35,1260.5,1268.95,0
1476914400,1269.38,1274.59,1263.1,1263.1,0
1477000800,1265.73,1268.01,1261.36,1265.71,0
1477260000,1265.62,1272,1260.57,1263.96,0
1477346400,1264.34,1276.69,1262.26,1273.45,0
1477432800,1274.01,1276.44,1264.88,1266.55,0
1477519200,1266.53,1272.78,1265.3,1268.05,0
1477605600,1268.06,1284.24,1261.9,1275.53,0
1477864800,1275.48,1279.5,1271.4,1276.75,0
1477951200,1276.86,1291.85,1275.75,1287.75,0
1478037600,1287.86,1307.99,1287.59,1296.8,0
1478124000,1296.93,1306.75,1285.7,1301.45,0
1478210400,1301.86,1307.14,1294.96,1303.7,0
1478473200,1292.95,1295.86,1278.34,1281.3,0
1478559600,1281.2,1290.64,1273.06,1275.4,0
1478646000,1275.29,1337.34,1268.52,1277.75,0
1478732400,1277.7,1292.21,1252.47,1258.6,0
1478818800,1258.5,1265.4,1219.33,1226.98,0
1479078000,1227.1,1231.35,1211.73,1220.9,0
1479164400,1221.2,1231.54,1219.15,1228.42,0
1479250800,1228.46,1233.1,1221.67,1225,0
1479337200,1224.83,1231.45,1211.28,1216.47,0
1479423600,1216.4,1217.8,1203.12,1208.29,0
1479682800,1208.3,1217.62,1205.83,1214,0
1479769200,1214,1221,1206.34,1212.1,0
1479855600,1212.1,1214.99,1181.92,1187.88,0
1479942000,1181.38,1193.23,1171.07,1183.8,0
1480287600,1183.75,1197.6,1183.01,1193.5,0
1480374000,1193.5,1195.09,1181.2,1187.88,0
1480460400,1187.85,1194.95,1170.83,1172.89,0
1480546800,1173.2,1176.69,1160.95,1171.6,0
1480633200,1171.6,1178.16,1166.93,1177.05,0
1480892400,1176.53,1188.1,1157.3,1169.97,0
1480978800,1170.2,1175.3,1166.94,1169.5,0
1481065200,1169.5,1180.22,1165.81,1173.4,0
1481151600,1173.4,1178.68,1169.42,1170.6,0
1481238000,1170.6,1172.01,1156.43,1159.36,0
1481497200,1158.01,1165.81,1151.49,1162.1,0
1481583600,1162.2,1164.99,1154.8,1157.14,0
1481670000,1157.58,1165.36,1139.02,1142.9,0
1481756400,1142.57,1144.41,1122.81,1128.02,0
1481842800,1128.1,1141.25,1126.85,1134.71,0
1482102000,1134.52,1142.32,1133.97,1137.7,0
1482188400,1137.7,1139.76,1125.96,1132.3,0
1482274800,1132.2,1137.1,1129.59,1131.3,0
1482361200,1131.4,1134.08,1127.99,1127.99,0
1482447600,1127.97,1135.84,1127.97,1133.63,0
1482793200,1133.5,1150.96,1131.92,1138.6,0
1482879600,1138.6,1144.47,1136.68,1141.03,0
1482966000,1141.5,1159.54,1141.5,1157.8,0
1483052400,1157.9,1163.21,1149.94,1150.62,0
1483398000,1151.49,1164.5,1146.23,1158.5,0
1483484400,1158.5,1167.9,1156.4,1163.4,0
1483570800,1163.21,1185.04,1163.19,1180.2,0
1483657200,1180.2,1182.92,1171.15,1172.13,0
1483916400,1172.26,1186.19,1172.17,1180.75,0
1484002800,1180.9,1190.61,1180.37,1187.5,0
1484089200,1187.5,1198.3,1177.37,1191.38,0
1484175600,1191.3,1206.94,1190.97,1195.15,0
1484262000,1195.03,1201.14,1188.02,1197.04,0
1484521200,1202.85,1218.9,1202.85,1216.38,0
1484694000,1216.55,1217.75,1202.57,1203.9,0
1484780400,1203.92,1206.47,1196.06,1204.58,0
1484866800,1204.55,1214.9,1198.81,1209.87,0
1485126000,1209.82,1219.45,1209.14,1217.7,0
1485212400,1217.68,1220.12,1206.83,1208.57,0
1485298800,1208.66,1209.78,1193.44,1200.36,0
1485385200,1200.38,1202.62,1184.62,1188.3,0
1485471600,1188.41,1191.59,1180.74,1190.64,0
1485730800,1190.6,1199.41,1188.4,1195.37,0
1485817200,1195.35,1215.32,1193.95,1210.47,0
1485903600,1210.52,1213.23,1198.39,1209.5,0
1485990000,1209.59,1225.28,1208.65,1215.73,0
1486076400,1215.47,1221.36,1207.38,1220.2,0
1486335600,1220.05,1235.67,1218.93,1235.21,0
1486422000,1235.27,1235.78,1227.8,1233.46,0
1486508400,1233.5,1244.71,1230.27,1241.2,0
1486594800,1241.31,1244.46,1228.1,1228.1,0
1486681200,1228.1,1237.16,1221.85,1233.61,0
1486940400,1233.13,1233.58,1219.49,1225,0
1487026800,1225.05,1234.6,1222.08,1228.28,0
1487113200,1228.14,1233.5,1216.8,1233.5,0
1487199600,1233.4,1242.35,1232.33,1238.8,0
1487286000,1239.18,1243.78,1234.16,1234.16,0
1487545200,1237.31,1238.84,1226.32,1235.6,0
1487718000,1235.51,1240.78,1231.42,1237.4,0
1487804400,1237.42,1251.08,1235.91,1249.3,0
1487890800,1249.52,1260.12,1247.99,1256.74,0
1488150000,1256.74,1263.87,1251.07,1252.59,0
1488236400,1252.67,1258.37,1247.82,1248.22,0
1488322800,1248.24,1250.6,1237.11,1249.37,0
1488409200,1249.28,1249.98,1231.1,1234.22,0
1488495600,1234.05,1236.29,1223.1,1234.41,0
1488754800,1234.35,1236.87,1225.08,1225.31,0
1488841200,1225.31,1227.16,1214.37,1215.6,0
1488927600,1215.6,1218.54,1206.82,1208.14,0
1489014000,1208.08,1209.01,1199.41,1201,0
1489100400,1201.01,1206.3,1195.13,1204.14,0
1489356000,1204.14,1211.16,1202.62,1203.65,0
1489442400,1203.67,1207.7,1197.2,1197.2,0
1489528800,1198.65,1222.01,1197.76,1219.05,0
1489615200,1218.98,1233.73,1218.31,1225.88,0
1489701600,1226.1,1231.66,1224.69,1228.6,0
1489960800,1229.31,1235.52,1229.31,1233.2,0
1490047200,1233.97,1247.55,1227.09,1244.05,0
1490133600,1243.98,1251.32,1243.98,1247.95,0
1490220000,1248.77,1253.31,1242.97,1245.05,0
1490306400,1244.84,1251.84,1241.13,1243.13,0
1490565600,1245.13,1261.01,1245.13,1253.95,0
1490652000,1253.64,1258.4,1247.86,1251.15,0
1490738400,1250.74,1254.62,1247.5,1253.21,0
1490824800,1253.52,1253.83,1242.51,1242.85,0
1490911200,1241.92,1250.6,1239.88,1248.78,0
1491170400,1248.91,1253.7,1244.68,1252.95,0
1491256800,1253.35,1261.25,1253.35,1255.65,0
1491343200,1255.96,1257.4,1243.93,1255.25,0
1491429600,1255.58,1258.91,1249.93,1251.85,0
1491516000,1251.64,1270.94,1250.8,1253.5,0
1491775200,1254.07,1257.2,1247.31,1254.48,0
1491861600,1254.95,1275.11,1253.29,1273.95,0
1491948000,1274.77,1286.75,1272.12,1286.15,0
1492034400,1286.1,1288.56,1281.99,1286.86,0
1492380000,1287.47,1295.46,1281.6,1284.45,0
1492466400,1284.49,1292.3,1279.09,1289.35,0
1492552800,1289.6,1290.71,1274.07,1279.55,0
1492639200,1280.32,1283.4,1276.83,1281.3,0
1492725600,1281.58,1288.3,1278.68,1284.03,0
1492984800,1284.23,1284.29,1265.67,1275.55,0
1493071200,1276.02,1278.2,1261.76,1263.8,0
1493157600,1263.99,1270.7,1260.01,1269.1,0
1493244000,1268.51,1269.59,1261.38,1263.85,0
1493330400,1263.83,1268.52,1263.25,1267.91,0
1493589600,1267.66,1271.16,1254.34,1256.05,0
1493676000,1255.93,1257.73,1252.16,1256.25,0
1493762400,1256.55,1256.92,1236.1,1237.8,0
1493848800,1237.74,1241.26,1225.85,1227.2,0
1493935200,1228.13,1235.58,1226.26,1228.04,0
